Id,Reaction,External ids,template,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,259.2572512218336,9.28825250943641,10.188723033924608,10.324439072232291,10.4532634463302,11.183014536408338,11.219692302721302,18.085525031881566,22.756358696383785,26.033235240470425
Thres,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
p_value,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Id,Reaction,External ids,template,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1001_SubsGlcPeri,SubsGlcPeri-->GlcPeri,(kegg:SubsGlcPeri),200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,fixed,200.0,1.0,0.0,500.0,ABCDEF-->ABCDEF,no
r1002_SubsCO2,SubsCO2-->CO2,(kegg:SubsCO2),778.4356065674938,253.5512174662772,539.6343470296301,609.136415163143,784.4976336166701,633.6505679318202,999.9999999999977,999.9988537872757,999.999648355785,999.9999999999801,free,1.0,1.0,0.0,1000.0,A-->A,no
r1003_SubsLacPeri,SubsLacPeri-->LacPeri,(kegg:SubsLacPeri),3.9440982985635173,47.12033947999652,29.703945629205066,2.6947684176548137e-05,9.141011073410255e-05,39.53251465642404,0.0012242655990633011,0.7955713327559124,0.029062956280199614,0.000256028510221995,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r1004_SubsAcCOAmit,SubsAcCOAmit-->AcCOAmit,(kegg:SubsAcCOAmit),6.798420821089678,43.88018020565835,49.99826332242742,49.99996632066052,5.663977219683147e-05,28.6453772556315,23.855116756913844,3.9515548498355884,3.9804830784888736,34.485622238349805,free,50.0,1.0,0.0,50.0,AB-->AB,no
r1005_SubsGly,SubsGly-->Gly,(kegg:SubsGly),3.3351872125736577,9.999866527518371,9.985782886854508,9.775509211895894,9.99999999999983,9.999610519028806,9.99995287996606,9.999999035865955,9.999984860058206,9.999999999999446,free,5.0,1.0,0.0,10.0,ABC-->ABC,no
r1006_SubsGln,SubsGln-->Gln,(kegg:SubsGln),26.298049101310085,49.99999999999693,49.99915874202998,49.999436748357766,49.999934693977366,49.99999401022251,33.39149981779212,49.999999965928055,49.99996139512359,49.99999995682106,free,30.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r1007_SubsAla,SubsAla-->Ala,(kegg:SubsAla),3.379132367781267,2.7320083972881548e-08,49.999999999997954,49.96044981517207,31.647196666696516,49.999339548143666,49.99999768418786,49.999999999021156,49.998662211655756,40.8482962449724,free,10.0,1.0,0.0,50.0,ABC-->ABC,no
r1008_SubsSer,SubsSer-->Ser,(kegg:SubsSer),31.676884348143176,46.75108443581115,49.999733411976905,49.97928413559936,49.99887411338477,49.975863489109486,49.999994346083724,49.99999997989468,49.18148020507047,49.9999984218378,free,10.0,1.0,0.0,50.0,ABC-->ABC,no
r1009_SubsUridine,SubsUridine-->Uridine,(kegg:SubsUridine),7.628077015926237,4.15527964118985,4.048693992318533,4.224467604250918,4.189162925381197,4.265135816169618,3.5700576001922997,4.162497277709804,5.666570388365585,5.289619365870095,fitting,5.0,1.0,0.0,10.0,ABCDEFGHI-->ABCDEFGHI,no
r1010_SubsR5P,SubsR5P-->R5P,(kegg:SubsR5P),6.593329903619136,5.0315616466374316,5.0625484738355695,4.944883124366495,5.006920595465715,5.118432421455381,5.3040140844126835,5.143874557704972,4.9172522625214015,4.174656080926766,fitting,5.0,1.0,0.0,10.0,ABCDE-->ABCDE,no
